# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.64481984   -0.02007001    0.61927225    0.00000001   11.45313102   -0.49999998   -0.49999992    0.01632842
    0.39735436   -0.00000003   -0.61927226    0.00000003   11.43689739    0.49999999    0.30811264    0.00000003
    0.64481989   -0.03388227    0.61927226    0.00000001   11.46381392   -0.49999999    0.49999995    0.02756571
   -0.64481994   -0.17688801   -0.57962601    0.00000002   11.83420755    0.46798964   -0.49999999    0.14391137
    0.64481991   -0.16449812   -0.59277364    0.00000003   11.79188894    0.47860502    0.49999997    0.13383129
   -0.64481988   -0.07595307    0.61927219    0.00000003   11.52861630   -0.49999993   -0.49999995    0.06179340
   -0.00000004   -0.04287750   -0.12508058    0.00000006   10.69518607    0.10098997   -0.00000003    0.03488399
   -0.00000005   -0.17650080   -0.27919297    0.00000029   11.13499347    0.22542021   -0.00000004    0.14359635
   -0.00000005   -0.17758724   -0.28093956    0.00000029   11.14026117    0.22683040   -0.00000004    0.14448025
   -0.00000010   -0.18802757   -0.29740341    0.00000033   11.19089602    0.24012331   -0.00000008    0.15297422
    0.00000002   -0.20663634   -0.32515906    0.00000002   11.28055953    0.26253320    0.00000002    0.16811382
   -0.00000002   -0.23125729   -0.35836647    0.00000002   11.39605058    0.28934484   -0.00000001    0.18814477
    0.00000000   -0.28238344   -0.41334450    0.00000001   11.61474105    0.33373407    0.00000000    0.22973964
   -0.61345463    0.00000009   -0.61927226    0.00000002   11.44671153    0.49999999   -0.47567901   -0.00000008
   -0.64481993    0.16822281   -0.58702696    0.00000002   11.80420712    0.47396516   -0.49999998   -0.13686160
    0.64481991    0.20576989   -0.59147524    0.00000003   11.94790111    0.47755670    0.49999997   -0.16740890
    0.64481991    0.18641652   -0.57763569    0.00000002   11.86941337    0.46638266    0.49999997   -0.15166351
   -0.64481995    0.19575019   -0.58092856    0.00000002   11.90614220    0.46904132   -0.50000000   -0.15925714
    0.64481994    0.17480561   -0.58084053    0.00000002   11.82682453    0.46897024    0.50000000   -0.14221719
    0.64481991    0.16629167   -0.58973252    0.00000002   11.79777816    0.47614963    0.49999997   -0.13529047
   -0.64481994    0.19482879   -0.58036355    0.00000003   11.90241998    0.46858513   -0.49999999   -0.15850751
   -0.61775556    0.27709523    0.61927214    0.00000005   12.18901784   -0.49999990   -0.47901400   -0.22543729
   -0.64481995   -0.17573364    0.58026018    0.00000002   11.83010082   -0.46850167   -0.50000000    0.14297221
