# Chirality              -1               1               1              -1
# k            phase           phase           phase           phase
      0.45000000       0.66471565       0.27311151       0.34098625       0.73258985
      0.45125000       0.66033994       0.27706267       0.34536544       0.72864221
      0.45250000       0.65592183       0.28106202       0.34978695       0.72464630
      0.45375000       0.65146154       0.28510957       0.35425054       0.72060210
      0.45500000       0.64695933       0.28920529       0.35875597       0.71650964
      0.45625000       0.64241552       0.29334911       0.36330292       0.71236898
      0.45750000       0.63783046       0.29754092       0.36789102       0.70818026
      0.45875000       0.63320458       0.30178055       0.37251986       0.70394362
      0.46000000       0.62853835       0.30606779       0.37718895       0.69965928
      0.46125000       0.62383231       0.31040238       0.38189777       0.69532752
      0.46250000       0.61908705       0.31478398       0.38664572       0.69094864
      0.46375000       0.61430323       0.31921222       0.39143215       0.68652304
      0.46500000       0.60948155       0.32368668       0.39625633       0.68205113
      0.46625000       0.60462281       0.32820686       0.40111750       0.67753342
      0.46750000       0.59972784       0.33277220       0.40601481       0.67297045
      0.46875000       0.59479756       0.33738208       0.41094734       0.66836285
      0.47000000       0.58983293       0.34203584       0.41591413       0.66371129
      0.47125000       0.58483499       0.34673272       0.42091414       0.65901652
      0.47250000       0.57980486       0.35147191       0.42594625       0.65427935
      0.47375000       0.57474370       0.35625253       0.43100931       0.64950065
      0.47500000       0.56965274       0.36107366       0.43610207       0.64468137
      0.47625000       0.56453329       0.36593426       0.44122324       0.63982252
      0.47750000       0.55938671       0.37083327       0.44637145       0.63492517
      0.47875000       0.55421441       0.37576955       0.45154529       0.62999047
      0.48000000       0.54901790       0.38074187       0.45674326       0.62501963
      0.48125000       0.54379870       0.38574898       0.46196382       0.62001392
      0.48250000       0.53855841       0.39078952       0.46720538       0.61497469
      0.48375000       0.53329870       0.39586209       0.47246628       0.60990333
      0.48500000       0.52802125       0.40096523       0.47774483       0.60480132
      0.48625000       0.52272781       0.40609742       0.48303927       0.59967017
      0.48750000       0.51742018       0.41125707       0.48834782       0.59451147
      0.48875000       0.51210020       0.41644255       0.49366864       0.58932685
      0.49000000       0.50676972       0.42165218       0.49899986       0.58411800
      0.49125000       0.50143065       0.42688420       0.50433958       0.57888666
      0.49250000       0.49608492       0.43213686       0.50968587       0.57363460
      0.49375000       0.49073448       0.43740832       0.51503679       0.56836365
      0.49500000       0.48538131       0.44269672       0.52039035       0.56307566
      0.49625000       0.48002738       0.44800017       0.52574457       0.55777254
      0.49750000       0.47467470       0.45331674       0.53109746       0.55245620
      0.49875000       0.46932526       0.45864450       0.53644703       0.54712859
      0.50000000       0.46398105       0.46398148       0.54179126       0.54179168
      0.50125000       0.45864408       0.46932568       0.54712818       0.53644744
      0.50250000       0.45331632       0.47467513       0.55245579       0.53109788
      0.50375000       0.44799975       0.48002781       0.55777213       0.52574498
      0.50500000       0.44269630       0.48538174       0.56307526       0.52039076
      0.50625000       0.43740790       0.49073491       0.56836324       0.51503720
      0.50750000       0.43213644       0.49608535       0.57363420       0.50968629
      0.50875000       0.42688379       0.50143108       0.57888626       0.50433999
      0.51000000       0.42165177       0.50677015       0.58411760       0.49900027
      0.51125000       0.41644215       0.51210062       0.58932645       0.49366905
      0.51250000       0.41125667       0.51742061       0.59451108       0.48834823
      0.51375000       0.40609702       0.52272824       0.59966978       0.48303968
      0.51500000       0.40096483       0.52802167       0.60480093       0.47774524
      0.51625000       0.39586169       0.53329912       0.60990294       0.47246669
      0.51750000       0.39078912       0.53855884       0.61497430       0.46720578
      0.51875000       0.38574859       0.54379912       0.62001354       0.46196422
      0.52000000       0.38074149       0.54901832       0.62501925       0.45674366
